1200
id, time
267, 29811
165, 29821
271, 29822
97, 29829
169, 29831
138, 29860
136, 29864
203, 29870
262, 29920
48, 30007
90, 30013
273, 30059
173, 30088
86, 30106
5, 30122
216, 30138
276, 30164
277, 30165
114, 30177
36, 30182
164, 30212
289, 30215
215, 30217
30, 30242
298, 30263
211, 30306
161, 30321
210, 30412
24, 30417
269, 30421
12, 30428
197, 30457
61, 30466
296, 30509
22, 30516
231, 30527
187, 30557
100, 30600
63, 30672
128, 30675
103, 30681
85, 30727
51, 30735
49, 30743
148, 30751
247, 30760
201, 30767
274, 30796
159, 30880
7, 30885
248, 30899
115, 30921
156, 30956
294, 30971
223, 30974
204, 31049
107, 31098
237, 31132
180, 31201
55, 31236
217, 31268
138, 31269
268, 31329
137, 31408
44, 31442
21, 31472
14, 31493
91, 31516
172, 31520
183, 31557
15, 31562
75, 31596
84, 31619
110, 31623
219, 31650
41, 31760
296, 31762
87, 31776
122, 31802
167, 31863
295, 31874
261, 31879
226, 31883
221, 31904
238, 31905
53, 31968
98, 31981
109, 32006
259, 32051
112, 32054
32, 32083
228, 32085
79, 32094
16, 32145
32, 32147
275, 32162
243, 32181
230, 32191
162, 32193
1, 32194
239, 32197
293, 32240
240, 32242
254, 32282
213, 32329
2, 32342
214, 32342
108, 32354
130, 32357
161, 32384
258, 32389
23, 32396
52, 32461
105, 32529
146, 32533
116, 32565
142, 32602
148, 32607
243, 32610
231, 32637
219, 32687
235, 32700
291, 32736
290, 32747
15, 32828
224, 32869
1, 32873
265, 32923
168, 33033
212, 33075
172, 33100
264, 33196
282, 33354
41, 33373
64, 33411
226, 33411
252, 33424
187, 33493
284, 33502
50, 33596
40, 33642
3, 33643
126, 33731
207, 33792
221, 33874
103, 33900
256, 33933
189, 33979
233, 34004
278, 34125
59, 34143
158, 34214
139, 34230
73, 34253
96, 34310
164, 34314
266, 34337
250, 34350
91, 34479
152, 34522
104, 34524
283, 34555
290, 34584
236, 34586
154, 34609
119, 34668
228, 34707
200, 34717
29, 34778
289, 34792
37, 34848
198, 34957
267, 35055
8, 35231
202, 35346
289, 35374
91, 35448
299, 35469
246, 35486
175, 35554
187, 35598
127, 35627
238, 35654
240, 35855
61, 35858
3, 35896
191, 35901
173, 35906
291, 35948
297, 36071
43, 36142
13, 36202
250, 36206
82, 36281
124, 36329
264, 36398
171, 36440
267, 36449
233, 36500
162, 36525
193, 36577
1, 36624
270, 36627
144, 36657
21, 36665
190, 36732
63, 36735
100, 36737
55, 36738
239, 36747
196, 36748
196, 36863
279, 37033
276, 37058
52, 37101
117, 37103
160, 37106
121, 37110
236, 37174
85, 37318
108, 37479
104, 37518
77, 37525
181, 37567
269, 37569
42, 37578
176, 37593
260, 37670
228, 37682
83, 37801
89, 37919
152, 37987
37, 38089
243, 38099
114, 38136
55, 38197
120, 38234
251, 38248
252, 38251
2, 38281
265, 38310
271, 38333
166, 38353
63, 38366
186, 38378
297, 38514
178, 38515
231, 38524
154, 38573
283, 38608
39, 38651
281, 38778
211, 38802
287, 38927
155, 39047
259, 39056
59, 39058
177, 39072
278, 39087
205, 39121
78, 39145
123, 39199
169, 39202
190, 39206
256, 39305
158, 39331
286, 39432
40, 39498
78, 39514
92, 39517
195, 39580
64, 39583
274, 39600
101, 39638
60, 39658
153, 39672
18, 39673
197, 39770
215, 39821
244, 39827
239, 39993
192, 40226
106, 40234
136, 40241
137, 40242
227, 40265
115, 40349
191, 40412
155, 40466
17, 40514
56, 40557
230, 40588
210, 40611
48, 40615
251, 40625
139, 40629
142, 40657
65, 40659
150, 40782
9, 40803
181, 40814
146, 40901
128, 40940
10, 40990
51, 41017
270, 41089
248, 41167
133, 41180
211, 41182
25, 41189
246, 41200
145, 41251
13, 41276
202, 41333
188, 41340
189, 41346
224, 41388
81, 41408
105, 41409
28, 41415
71, 41459
298, 41516
7, 41603
143, 41672
28, 41739
32, 41778
126, 41792
47, 41879
147, 41901
15, 41905
27, 41979
46, 42003
215, 42134
47, 42157
53, 42157
207, 42172
58, 42267
114, 42279
160, 42310
225, 42355
223, 42394
292, 42506
117, 42541
295, 42575
77, 42590
148, 42593
125, 42607
244, 42662
286, 42695
11, 42724
234, 42741
200, 42775
58, 42880
3, 42894
269, 42978
103, 42980
106, 43093
66, 43105
173, 43111
251, 43119
79, 43147
26, 43153
273, 43168
122, 43260
49, 43277
280, 43292
212, 43293
67, 43541
111, 43582
127, 43676
208, 43700
78, 43913
119, 44080
135, 44081
140, 44150
75, 44151
275, 44151
131, 44152
178, 44217
274, 44237
31, 44271
195, 44292
56, 44336
227, 44422
248, 44537
124, 44722
198, 44760
38, 44802
279, 44832
74, 44861
164, 44870
34, 44928
184, 44995
121, 45049
179, 45068
149, 45076
183, 45078
86, 45094
189, 45125
234, 45151
8, 45213
281, 45225
271, 45282
94, 45290
275, 45497
176, 45512
132, 45529
252, 45571
253, 45588
201, 45649
185, 45685
68, 45695
27, 45704
201, 45715
70, 45805
113, 45855
28, 45875
147, 45876
110, 45879
81, 45938
257, 45988
38, 45989
153, 46007
283, 46026
208, 46064
199, 46069
140, 46087
141, 46093
254, 46102
276, 46147
186, 46160
68, 46200
86, 46233
224, 46300
181, 46416
82, 46489
11, 46505
185, 46518
166, 46592
291, 46596
27, 46611
19, 46640
129, 46640
199, 46656
61, 46658
192, 46688
179, 46713
17, 46737
56, 46774
233, 46779
151, 46789
145, 46896
261, 46941
138, 47084
262, 47118
297, 47147
265, 47158
184, 47167
196, 47190
247, 47232
9, 47304
145, 47339
183, 47339
39, 47352
92, 47378
80, 47379
165, 47403
83, 47418
161, 47457
169, 47488
242, 47511
30, 47532
298, 47594
180, 47647
117, 47661
18, 47727
192, 47743
206, 47795
200, 47839
54, 47862
0, 47912
205, 47924
77, 47964
203, 47977
139, 47978
90, 48061
177, 48062
113, 48113
101, 48115
21, 48170
86, 48171
219, 48173
215, 48201
70, 48237
167, 48237
62, 48312
35, 48337
57, 48362
7, 48372
272, 48381
120, 48448
93, 48487
133, 48533
287, 48592
87, 48605
159, 48605
89, 48632
245, 48681
155, 48733
220, 48735
98, 48790
170, 48791
72, 48814
97, 48829
136, 48856
110, 48908
197, 48918
299, 48974
191, 49040
202, 49164
6, 49168
33, 49179
262, 49199
263, 49226
217, 49256
153, 49277
65, 49290
134, 49306
123, 49383
221, 49383
246, 49399
135, 49424
45, 49488
187, 49508
208, 49518
75, 49525
118, 49545
222, 49618
134, 49732
218, 49740
182, 49778
210, 49785
273, 49786
128, 49843
201, 49864
237, 49864
53, 49874
95, 49889
249, 49925
258, 50011
45, 50097
149, 50097
154, 50098
42, 50131
122, 50180
44, 50204
54, 50278
131, 50283
125, 50297
10, 50311
188, 50316
29, 50321
282, 50334
225, 50452
79, 50461
124, 50483
94, 50500
43, 50520
254, 50557
220, 50572
68, 50604
261, 50694
48, 50707
143, 50842
226, 50887
142, 50888
106, 50906
71, 50930
19, 50969
241, 50971
174, 51126
150, 51157
218, 51160
206, 51287
109, 51323
17, 51337
141, 51369
88, 51408
178, 51445
58, 51457
20, 51488
244, 51516
95, 51596
272, 51770
99, 51786
268, 51878
45, 51907
240, 51922
22, 51937
107, 51971
194, 52007
31, 52041
292, 52048
113, 52124
125, 52127
121, 52191
295, 52233
5, 52287
258, 52345
194, 52449
46, 52453
62, 52464
268, 52554
18, 52557
206, 52644
204, 52712
268, 52790
158, 52798
1, 52875
167, 52933
16, 52975
264, 52990
167, 53043
280, 53098
63, 53106
6, 53135
98, 53188
50, 53193
111, 53307
0, 53330
38, 53367
255, 53454
259, 53483
281, 53483
236, 53526
257, 53611
214, 53622
159, 53627
101, 53638
195, 53665
67, 53673
174, 53673
41, 53704
168, 53705
66, 53733
136, 53774
60, 53852
132, 53969
213, 54013
245, 54040
126, 54089
95, 54121
135, 54126
203, 54129
22, 54164
199, 54185
109, 54188
249, 54252
132, 54320
112, 54375
80, 54456
34, 54470
183, 54500
237, 54523
280, 54684
216, 54698
46, 54726
254, 54731
156, 54750
59, 54765
171, 54841
109, 54890
4, 54920
229, 54958
107, 54960
69, 55045
241, 55070
88, 55086
211, 55099
235, 55142
255, 55210
74, 55217
194, 55301
274, 55331
157, 55374
110, 55481
272, 55606
217, 55714
245, 55729
4, 55749
57, 55775
170, 55799
266, 55800
105, 55860
162, 55866
134, 55962
96, 56148
267, 56165
294, 56173
176, 56237
114, 56295
198, 56474
76, 56496
102, 56556
275, 56623
14, 56636
39, 56678
218, 56702
172, 56710
108, 56759
152, 56793
150, 56811
119, 56813
269, 56901
228, 56931
129, 56934
156, 56979
104, 57103
20, 57128
116, 57154
243, 57170
204, 57223
36, 57229
279, 57229
288, 57270
255, 57274
118, 57343
237, 57393
143, 57515
129, 57597
182, 57607
234, 57645
262, 57746
44, 57800
70, 57846
97, 57863
48, 57868
51, 57919
184, 57923
141, 58049
209, 58050
225, 58052
15, 58129
166, 58136
66, 58163
249, 58205
205, 58265
180, 58281
112, 58288
284, 58294
75, 58343
112, 58511
261, 58649
222, 58721
0, 58725
232, 58828
277, 58884
55, 58893
263, 58903
93, 58905
72, 58957
92, 58970
33, 59006
22, 59162
94, 59186
34, 59231
84, 59272
293, 59313
256, 59366
232, 59390
177, 59407
287, 59435
230, 59443
144, 59462
258, 59507
13, 59545
16, 59580
179, 59604
7, 59659
157, 59721
91, 59730
229, 59820
64, 59943
292, 59990
286, 60025
111, 60033
24, 60135
174, 60229
9, 60253
190, 60332
273, 60333
6, 60384
12, 60392
20, 60421
277, 60450
133, 60494
118, 60533
163, 60608
69, 60632
232, 60659
53, 60706
103, 60725
140, 60744
123, 60746
147, 60764
31, 60779
5, 60825
107, 60935
257, 61018
204, 61059
11, 61073
19, 61085
93, 61104
217, 61114
4, 61197
99, 61199
160, 61308
276, 61332
241, 61391
40, 61454
294, 61467
57, 61550
131, 61552
277, 61684
146, 61826
271, 61946
231, 62155
227, 62190
130, 62202
47, 62248
296, 62390
71, 62419
97, 62517
298, 62618
88, 62623
82, 62668
186, 62790
33, 62918
285, 63054
72, 63085
99, 63105
185, 63260
130, 63281
220, 63585
248, 63647
214, 63725
52, 63734
23, 63743
170, 63814
73, 63903
222, 63946
250, 63962
193, 64036
54, 64057
290, 64089
148, 64135
128, 64146
173, 64193
157, 64384
24, 64420
216, 64424
137, 64581
80, 64647
8, 64685
100, 64823
163, 64986
163, 65344
159, 65346
14, 65361
203, 65379
169, 65456
260, 65488
14, 65501
212, 65663
127, 65736
149, 65812
238, 65904
10, 65990
81, 66020
270, 66026
37, 66058
285, 66274
289, 66434
130, 66530
285, 66750
102, 66821
62, 66913
102, 66929
89, 67015
98, 67286
156, 67379
2, 67399
44, 67435
294, 67528
85, 67612
120, 67752
263, 67834
65, 67876
288, 68041
216, 68058
197, 68212
278, 68396
229, 68553
188, 68792
288, 68868
79, 68962
84, 69699
175, 69751
207, 69773
214, 69779
24, 69906
84, 69923
69, 69981
295, 70002
239, 70901
180, 71310
122, 71338
74, 71653
67, 71702
182, 72111
16, 73313
5, 73789
23, 74536
32, 77700
23, 78289
